,Codigo,hora,lat,lon,temp_C,precip_mm
82,1004,10,6.293497412529733,-75.6508059291473,12.079385884602887,2.67690315838216
83,1004,11,6.293497412529733,-75.6508059291473,11.833352661132835,2.7754773199079117
84,1004,12,6.293497412529733,-75.6508059291473,12.433913167317732,2.8996877868494884
85,1004,13,6.293497412529733,-75.6508059291473,14.689427185058616,2.9832525054062606
86,1004,14,6.293497412529733,-75.6508059291473,16.386314392089865,3.1241181816186034
87,1004,15,6.293497412529733,-75.6508059291473,17.83985036214195,3.3806296421238593
88,1004,16,6.293497412529733,-75.6508059291473,19.16268005371096,3.687454273187285
89,1004,17,6.293497412529733,-75.6508059291473,20.028850809733097,4.103554647458789
90,1004,18,6.293497412529733,-75.6508059291473,20.24051411946617,4.967672993915902
91,1004,19,6.293497412529733,-75.6508059291473,19.57712300618492,6.797313213797314
92,1004,20,6.293497412529733,-75.6508059291473,18.994500223795594,8.251016318823545
93,1004,21,6.293497412529733,-75.6508059291473,17.848941548665387,10.659270804821002
94,1004,22,6.293497412529733,-75.6508059291473,16.962481180826845,11.740407805853554
95,1004,23,6.293497412529733,-75.6508059291473,16.15500844319664,12.410422272219892
96,1005,0,6.308556551324414,-75.52985388717362,16.253286234537782,12.20732733255107
97,1005,1,6.308556551324414,-75.52985388717362,15.68842722574872,0.40693143382668495
98,1005,2,6.308556551324414,-75.52985388717362,15.277672322591169,0.8741549526651701
99,1005,3,6.308556551324414,-75.52985388717362,14.950800577799502,1.2360752870639165
100,1005,4,6.308556551324414,-75.52985388717362,14.64867146809898,1.5782449394464493
101,1005,5,6.308556551324414,-75.52985388717362,14.52593180338544,1.874427745739619
102,1005,6,6.308556551324414,-75.52985388717362,14.319793192545596,2.0870440949996314
103,1005,7,6.308556551324414,-75.52985388717362,14.103708902994814,2.2360702355462316
104,1005,8,6.308556551324414,-75.52985388717362,13.878955078125022,2.338170856200487
105,1005,9,6.308556551324414,-75.52985388717362,13.697951253255232,2.4520397185811524
106,1005,10,6.308556551324414,-75.52985388717362,13.459659322102887,2.595018049037042
107,1005,11,6.308556551324414,-75.52985388717362,13.23309224446617,2.696232696326343
108,1005,12,6.308556551324414,-75.52985388717362,13.731569417317731,2.825222959073533
109,1005,13,6.308556551324414,-75.52985388717362,16.078099060058616,2.9420858124340774
110,1005,14,6.308556551324414,-75.52985388717362,17.362681579589868,3.1253825451459014
111,1005,15,6.308556551324414,-75.52985388717362,18.844082132975284,3.3777475091962827
112,1005,16,6.308556551324414,-75.52985388717362,20.141651407877628,3.7006860076220485
113,1005,17,6.308556551324414,-75.52985388717362,21.03145497639976,4.146537543627815
114,1005,18,6.308556551324414,-75.52985388717362,21.0080271402995,5.345109969553974
115,1005,19,6.308556551324414,-75.52985388717362,20.43936258951825,7.01490990365734
116,1005,20,6.308556551324414,-75.52985388717362,19.847690327962262,8.570277671044717
117,1005,21,6.308556551324414,-75.52985388717362,18.630191548665387,10.723906081615436
118,1005,22,6.308556551324414,-75.52985388717362,17.741192118326847,11.655007264230123
119,1005,23,6.308556551324414,-75.52985388717362,16.913471984863303,12.201648559902742
120,1006,0,6.265326457627871,-75.49273808275602,16.253286234537782,12.20732733255107
121,1006,1,6.265326457627871,-75.49273808275602,15.68842722574872,0.40693143382668495
122,1006,2,6.265326457627871,-75.49273808275602,15.277672322591169,0.8741549526651701
123,1006,3,6.265326457627871,-75.49273808275602,14.950800577799502,1.2360752870639165
124,1006,4,6.265326457627871,-75.49273808275602,14.64867146809898,1.5782449394464493
125,1006,5,6.265326457627871,-75.49273808275602,14.52593180338544,1.874427745739619
126,1006,6,6.265326457627871,-75.49273808275602,14.319793192545596,2.0870440949996314
127,1006,7,6.265326457627871,-75.49273808275602,14.103708902994814,2.2360702355462316
128,1006,8,6.265326457627871,-75.49273808275602,13.878955078125022,2.338170856200487
129,1006,9,6.265326457627871,-75.49273808275602,13.697951253255232,2.4520397185811524
130,1006,10,6.265326457627871,-75.49273808275602,13.459659322102887,2.595018049037042
131,1006,11,6.265326457627871,-75.49273808275602,13.23309224446617,2.696232696326343
132,1006,12,6.265326457627871,-75.49273808275602,13.731569417317731,2.825222959073533
133,1006,13,6.265326457627871,-75.49273808275602,16.078099060058616,2.9420858124340774
134,1006,14,6.265326457627871,-75.49273808275602,17.362681579589868,3.1253825451459014
135,1006,15,6.265326457627871,-75.49273808275602,18.844082132975284,3.3777475091962827
136,1006,16,6.265326457627871,-75.49273808275602,20.141651407877628,3.7006860076220485
137,1006,17,6.265326457627871,-75.49273808275602,21.03145497639976,4.146537543627815
138,1006,18,6.265326457627871,-75.49273808275602,21.0080271402995,5.345109969553974
139,1006,19,6.265326457627871,-75.49273808275602,20.43936258951825,7.01490990365734
140,1006,20,6.265326457627871,-75.49273808275602,19.847690327962262,8.570277671044717
141,1006,21,6.265326457627871,-75.49273808275602,18.630191548665387,10.723906081615436
142,1006,22,6.265326457627871,-75.49273808275602,17.741192118326847,11.655007264230123
143,1006,23,6.265326457627871,-75.49273808275602,16.913471984863303,12.201648559902742
144,1007,0,6.268451674419309,-75.65178956902857,15.530760192871117,12.627990589990999
145,1007,1,6.268451674419309,-75.65178956902857,15.003791809082054,0.5036315570274988
146,1007,2,6.268451674419309,-75.65178956902857,14.559182739257835,1.0355378811558087
147,1007,3,6.268451674419309,-75.65178956902857,14.130943806966169,1.3995467374722164
148,1007,4,6.268451674419309,-75.65178956902857,13.70882771809898,1.7203491181135178
149,1007,5,6.268451674419309,-75.65178956902857,13.45561930338544,1.9956910361846287
150,1007,6,6.268451674419309,-75.65178956902857,13.197071838378928,2.194933220744133
151,1007,7,6.268451674419309,-75.65178956902857,12.900649007161482,2.354249730682175
152,1007,8,6.268451674419309,-75.65178956902857,12.624983723958357,2.4715926249452735
153,1007,9,6.268451674419309,-75.65178956902857,12.399383544921898,2.581258118105841
154,1007,10,6.268451674419309,-75.65178956902857,12.079385884602887,2.67690315838216
155,1007,11,6.268451674419309,-75.65178956902857,11.833352661132835,2.7754773199079117
156,1007,12,6.268451674419309,-75.65178956902857,12.433913167317732,2.8996877868494884
157,1007,13,6.268451674419309,-75.65178956902857,14.689427185058616,2.9832525054062606
158,1007,14,6.268451674419309,-75.65178956902857,16.386314392089865,3.1241181816186034
159,1007,15,6.268451674419309,-75.65178956902857,17.83985036214195,3.3806296421238593
160,1007,16,6.268451674419309,-75.65178956902857,19.16268005371096,3.687454273187285
161,1007,17,6.268451674419309,-75.65178956902857,20.028850809733097,4.103554647458789
162,1007,18,6.268451674419309,-75.65178956902857,20.24051411946617,4.967672993915902
163,1007,19,6.268451674419309,-75.65178956902857,19.57712300618492,6.797313213797314
164,1007,20,6.268451674419309,-75.65178956902857,18.994500223795594,8.251016318823545
165,1007,21,6.268451674419309,-75.65178956902857,17.848941548665387,10.659270804821002
166,1007,22,6.268451674419309,-75.65178956902857,16.962481180826845,11.740407805853554
167,1007,23,6.268451674419309,-75.65178956902857,16.15500844319664,12.410422272219892
168,1008,0,6.341279721992574,-75.50532512889372,15.015721130371116,13.179288353974409
169,1008,1,6.341279721992574,-75.50532512889372,14.58256785074872,0.40520398567120236
170,1008,2,6.341279721992574,-75.50532512889372,14.196812947591168,0.8614610259731611
171,1008,3,6.341279721992574,-75.50532512889372,13.884589640299502,1.2037473420302074
172,1008,4,6.341279721992574,-75.50532512889372,13.58773396809898,1.5031588574250538
173,1008,5,6.341279721992574,-75.50532512889372,13.39565836588544,1.7586395144462585
174,1008,6,6.341279721992574,-75.50532512889372,13.209246317545595,1.9438046962022781
175,1008,7,6.341279721992574,-75.50532512889372,12.891859944661482,2.083135147865415
176,1008,8,6.341279721992574,-75.50532512889372,12.702327473958356,2.173115288180938
177,1008,9,6.341279721992574,-75.50532512889372,12.554136149088565,2.268677453153245
178,1008,10,6.341279721992574,-75.50532512889372,12.304255676269554,2.398413121656162
179,1008,11,6.341279721992574,-75.50532512889372,12.08660786946617,2.4829104045547723
180,1008,12,6.341279721992574,-75.50532512889372,12.662559000651065,2.60173285996134
181,1008,13,6.341279721992574,-75.50532512889372,15.011757914225283,2.727692623878042
182,1008,14,6.341279721992574,-75.50532512889372,16.3608586629232,2.9017243112649047
183,1008,15,6.341279721992574,-75.50532512889372,17.759446716308616,3.1250613166042975
184,1008,16,6.341279721992574,-75.50532512889372,19.01443786621096,3.4440547326039925
185,1008,17,6.341279721992574,-75.50532512889372,19.76296539306643,3.8830765697292455
186,1008,18,6.341279721992574,-75.50532512889372,19.77059224446617,5.1237348419205615
187,1008,19,6.341279721992574,-75.50532512889372,19.300300089518252,6.62933093354295
188,1008,20,6.341279721992574,-75.50532512889372,18.58447418212893,8.473004380887398
189,1008,21,6.341279721992574,-75.50532512889372,17.396076965332053,10.832505247690824
190,1008,22,6.341279721992574,-75.50532512889372,16.49086659749351,12.222354075524676
191,1008,23,6.341279721992574,-75.50532512889372,15.654096984863305,13.160688287749524
